id,candidate_domain,matched_seed,flag_reason,seen_at,http_status,title,body_preview
15938,vodafoneasia.com,vodafone.pt,brand_contains,1784297229,0,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
15945,www.eletrizando.codezone.pt,vodafone.pt,levenshtein,1784299826,403,,HTTP 403
15944,cubeworkoutstudio.codezone.pt,vodafone.pt,levenshtein,1784299142,403,,HTTP 403
15930,vondafone.co.uk,vodafone.pt,levenshtein,1784295345,0,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
15942,mway.li,mbway.pt,levenshtein,1784298719,0,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
15895,staging-v3.dumbways.id,mbway.pt,brand_contains,1784288418,0,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
15900,www.vodafonexoffers.com,vodafone.pt,brand_contains,1784289669,200,,
15932,www.vodafonehappydiscountedcinema.com,vodafone.pt,brand_contains,1784295508,503,,HTTP 503
15896,cpanel.bincoapp.pt,bancobpi.pt,levenshtein,1784289092,200,cPanel Login,"cPanel Login /* This css is included in the base template in case the css cannot be loaded because of access restrictions If this css is updated, please update securitypolicy_header.html.tmpl as well */ .copyright { background: url(data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzNTlwdCIgaGVpZ2h0PSIzMjAiIHZpZXdCb3g9IjAgMCAzNTkgMjQwIj48ZGVmcz48Y2xpcFBhdGggaW"
15941,vodafonemexefest.com,vodafone.pt,brand_contains,1784297923,200,Recompensas y Ofertas de Mortal Kombat Mobile - Mejora tu experiencia de juego,"img:is([sizes=""auto"" i], [sizes^=""auto,"" i]) { contain-intrinsic-size: 3000px 1500px } Recompensas y Ofertas de Mortal Kombat Mobile - Mejora tu experiencia de juego {""@context"":""https://schema.org"",""@graph"":[{""@type"":""Organization"",""@id"":""https://vodafonemexefest.com/#organization"",""name"":""WordPress""},{""@type"":""WebSite"",""@id"":""https://vodafonemexefest.com/#website"",""url"":""https://vodafonemexefest"
15958,myway.my,mbway.pt,levenshtein,1784301900,429,,HTTP 429
15964,webmail.sef-stadium.gr,sef.pt,brand_contains,1784304995,200,Webmail Login,"Webmail Login /* This css is included in the base template in case the css cannot be loaded because of access restrictions If this css is updated, please update securitypolicy_header.html.tmpl as well */ .copyright { background: url(data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzNTlwdCIgaGVpZ2h0PSIzMjAiIHZpZXdCb3g9IjAgMCAzNTkgMjQwIj48ZGVmcz48Y2xpcFBhdGgga"
15897,opac.bpe.bnportugal.gov.pt,eportugal.gov.pt,levenshtein,1784289323,200,,
15903,www.vodafonefantasticdays.com,vodafone.pt,brand_contains,1784289670,200,,"window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'G-HN1LGPZ87M'); body, canvas { border: 0; margin: 0; padding: 0; } .igb-header-full-width { float: left; padding: 0; min-width: 100%; background-color: #ffffff; width: 100%; } .terms-footer-full-width { width: 100%; padding: 0; float: left; min-width: 100%; background-colo"
15933,vless.cgd-v-less.top,cgd.pt,brand_contains,1784295556,500,,HTTP 500
15951,montepio24empresas.cyou,montepio.pt,brand_contains,1784300447,0,,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
15922,stage.admin.jlr-sef.com,sef.pt,brand_contains,1784292967,200,Redirecting...,"Redirecting... (()=>{""use strict"";const t=""offset"",e=""client"",o=function(){};let n=!1,r=!1;const i={loopDelay:50,maxLoop:5,complete:o},l=[];let u=null;const s={cssClass:""ad-overlay google-ad-bottom-outer prebid-wrapper .dfp-ad-container""},a={nullProps:[t+""Parent""],zeroProps:[]};a.zeroProps=[t+""Height"",t+""Left"",t+""Top"",t+""Width"",t+""Height"",e+""Height"",e+""Width""];const c={quick:null,remote:null};let "
15955,www.vodafoneideain.com,vodafone.pt,brand_contains,1784301768,200,Coming Soon,Coming Soon .content * { --content-text-color: #FFFFFF; } vodafoneideain.com We&apos;re under construction. Please check back for an update soon.
15906,vodafonegiftcard.com,vodafone.pt,brand_contains,1784289707,200,Vodafone,"Vodafone .mycheckBig input { width: 25px; height: 25px; padding-top: 20px !important; } $(document).ready(function () { $("".textBoxCodeError"").focus(function (srcc) { $(this).removeClass(""textBoxCodeError""); $(this).addClass(""textBoxCode""); $(this).val(""""); }); $("".textBoxCodeError"").blur(function () { if ($(this).val() == """") { $(this).removeClass(""textBoxCodeError""); $(this).addClass(""textBoxCod"
15901,www.vodafonefantasticfridays.com,vodafone.pt,brand_contains,1784289669,200,Vodafone  Rewards,"window.dataLayer = window.dataLayer || []; function gtag() { dataLayer.push(arguments); } gtag('js', new Date()); gtag('config', 'UA-110396845-6'); Vodafone Rewards .mycheckBig input { width: 15px; height: 15px; } $(document).ready(function () { $("".textBoxCodeError"").focus(function (srcc) { $(this).removeClass(""textBoxCodeError""); $(this).addClass(""textBoxCode""); $(this).val(""""); }); $("".textBoxC"
15893,myway-fc.org.ph,mbway.pt,levenshtein,1784287452,200,Redirecting...,"Redirecting... (()=>{""use strict"";const t=""offset"",e=""client"",o=function(){};let n=!1,r=!1;const i={loopDelay:50,maxLoop:5,complete:o},l=[];let u=null;const s={cssClass:""ad-overlay google-ad-bottom-outer prebid-wrapper .dfp-ad-container""},a={nullProps:[t+""Parent""],zeroProps:[]};a.zeroProps=[t+""Height"",t+""Left"",t+""Top"",t+""Width"",t+""Height"",e+""Height"",e+""Width""];const c={quick:null,remote:null};let "
15907,vodafonefantasticfreebies.com,vodafone.pt,brand_contains,1784289724,200,,"window.dataLayer = window.dataLayer || []; function gtag() { dataLayer.push(arguments); } gtag('js', new Date()); gtag('config', 'G-3EG4HBJ833'); .well { background-color: transparent !important; } Vodafone Happy St. Patrick's Giveaway promotion is now closed. Website and promotions are administered by Sweete on behalf of Vodafone"
15870,bincoapp.pt,bancobpi.pt,levenshtein,1784280376,403,,HTTP 403
15952,www.sef-nj.org,sef.pt,brand_contains,1784300466,200,Home,"window['ppConfig'] = {productName: '6b8ce7c01e3dacd3d2c7a8cd322ff979', deleteIsEnforced: false , sealIsEnforced: false , heartbeatRate: 0.5 , periodicReportingRateMillis: 60000.0 , disableAllReporting: false };(function(){'use strict';function k(a){var b=0;return function(){return b var DOCS_timing={}; DOCS_timing['sl']=new Date().getTime(); function _DumpException(e) {throw e;} window.WIZ_global_"
15875,sgd.pt,cgd.pt,levenshtein,1784282772,403,,HTTP 403
15865,sef-padel.de,sef.pt,brand_contains,1784279802,200,Fischer Spezialbaustoffe ::,"Fischer Spezialbaustoffe :: AC_FL_RunContent = 0; if (AC_FL_RunContent == 0) { alert(""Diese Seite erfordert die Datei \""AC_RunActiveContent.js\"".""); } else { AC_FL_RunContent( 'codebase','http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=9,0,0,0','wmode','transparent','width','1000','height','700','id','fischer_basics','align','middle','src','fischer_basics','quality','hi"
15937,www.captacion-vodafone.es,vodafone.pt,brand_contains,1784296897,200,Parked Domain name on Hostinger DNS system,"Parked Domain name on Hostinger DNS system *{ margin: 0; padding: 0; box-sizing: border-box;} body{ font-family: 'DM Sans', sans-serif; background-color: #fafbff; color: #1d1e20; line-height: 1.5;} .container{ max-width: 1110px; margin: 160px auto; padding: 0 32px; box-sizing: content-box;} .header{ display: flex; flex-direction: column; gap: 32px; align-items: flex-start; margin-bottom: 80px;} .h"
15860,vodafcne.sbs,vodafone.pt,levenshtein,1784276441,0,,<urlopen error [Errno 61] Connection refused>
15968,aplicacion-nowo.tech,nowo.pt,brand_contains,1784312769,200,Aplicaci&oacute;n de Nowo.tech &#8211; Ejemplos de Nowo.tech aplicado a tu negocio,"Aplicaci&oacute;n de Nowo.tech &#8211; Ejemplos de Nowo.tech aplicado a tu negocio img:is([sizes=auto i],[sizes^=""auto,"" i]){contain-intrinsic-size:3000px 1500px} /*# sourceURL=wp-img-auto-sizes-contain-inline-css */ img.wp-smiley, img.emoji { display: inline !important; border: none !important; box-shadow: none !important; height: 1em !important; width: 1em !important; margin: 0 0.07em !important"
15842,mail.monteira.pt,montepio.pt,levenshtein,1784269704,200,mailcow UI,"mailcow UI // check if darkmode is preferred by OS or set by localStorage if (window.matchMedia && window.matchMedia('(prefers-color-scheme: dark)').matches && localStorage.getItem(""theme"") !== ""light"" || localStorage.getItem(""theme"") === ""dark"") { var head = document.getElementsByTagName('head')[0]; var link = document.createElement('link'); link.id = 'dark-mode-theme'; link.rel = 'stylesheet'; l"
15851,ww9.segnalazionivodafone.it,vodafone.pt,brand_contains,1784272288,200,segnalazionivodafone.it,"segnalazionivodafone.it /* Variables for colors and fonts */ :root { --main-bg-color: #2b2b2b; --main-text-color: #aeb8c4; --link-color: #163b50; --related-search-bg: #02198b; --related-search-hover: #000f5a; --accent-color: #163b50; --secondary-text-color: #9ca6b8; --font-family: ""Arial"", sans-serif; --base-font-size: 16px; } /* Global Styles */ html { font-size: var(--base-font-size); } body, ht"
15850,wordpress.banco.pt,bancobpi.pt,levenshtein,1784272163,0,,[Errno 54] Connection reset by peer
15963,www.myway-mode.de,mbway.pt,levenshtein,1784304649,200,MyWay Mode - Exklusiver Marken Kleidung für Damen und Herren &ndash; MYWAY Mode,"MyWay Mode - Exklusiver Marken Kleidung für Damen und Herren &ndash; MYWAY Mode WebFontConfig = { google: { families: [ 'Poppins:100,200,300,400,500,600,700,800,900' ] } }; (function() { var wf = document.createElement('script'); wf.src = ('https:' == document.location.protocol ? 'https' : 'http') + '://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js'; wf.type = 'text/javascript'; wf.async = 't"
15862,thexpay.com,ifthenpay.com,levenshtein,1784277400,200,,"window.onload=function(){window.location.href=""/lander""}"
15848,mahmood.you-sef.dev,sef.pt,brand_contains,1784271227,200,Mahmood Yousef — Senior Software Engineer,"Mahmood Yousef — Senior Software Engineer .time-line-container>div:last-child .education__time>.education__line{display:none}[data-theme^=term-]{font-family:IBM Plex Mono,JetBrains Mono,Fira Code,monospace}.astro-route-announcer{position:absolute;left:0;top:0;clip:rect(0 0 0 0);clip-path:inset(50%);overflow:hidden;white-space:nowrap;width:1px;height:1px} Mahmood Yousef Mahmood Yousef Senior Softwa"
