id,candidate_domain,matched_seed,flag_reason,seen_at
16243,www.preview.sandtander.com,santander.pt,levenshtein,1784387048
16242,eportugalia.com,eportugal.gov.pt,brand_contains,1784384309
16241,eportugalia.com,eportugal.gov.pt,brand_contains,1784384306
16240,deliasantander.com,santander.pt,brand_contains,1784384055
16239,santanderos.com,santander.pt,brand_contains,1784383630
16238,santanderos.com,santander.pt,brand_contains,1784383628
16237,bvb-wechselwochen.vodafone-immersive.de,vodafone.pt,brand_contains,1784383517
16236,montredo.pt,montepio.pt,levenshtein,1784383030
16231,imctsantanderdocumental.com,santander.pt,brand_contains,1784382922
16235,santanderobancoes.com,santander.pt,brand_contains,1784382603
16234,campushockeysantander.com,santander.pt,brand_contains,1784381590
16233,www.montpio.com,montepio.pt,levenshtein,1784380893
16232,www.montpio.com,montepio.pt,levenshtein,1784380890
16230,www.6facebookloginreset-verify-secure-account-update.com.ph,portaldasfinancas.gov.pt,keyword,1784380440
16229,www.6facebookloginreset-verify-secure-account-update.com.ph,portaldasfinancas.gov.pt,keyword,1784380437
16228,www.bbinteriores.codezone.pt,vodafone.pt,levenshtein,1784379635
16227,www.bbinteriores.codezone.pt,vodafone.pt,levenshtein,1784379632
16226,www.facebookloginreset-verify-secure-support-help.com.ph,abancaportugal.pt,keyword,1784379438
16225,myway-english.it,mbway.pt,levenshtein,1784379077
16224,www.voda-fone.nl,vodafone.pt,levenshtein,1784378418
16223,securelogin-verify.help,santander.pt,keyword,1784378239
16222,6facebookloginreset-verify-secure-account-update.com.ph,portaldasfinancas.gov.pt,keyword,1784377980
16221,6facebookloginreset-verify-secure-account-update.com.ph,portaldasfinancas.gov.pt,keyword,1784377977
16220,golub-cgd.pl,cgd.pt,brand_contains,1784377139
16219,f3cooh7xau64.dienstleistung-santander.com,santander.pt,brand_contains,1784377082
16218,montedio-rush.com,montepio.pt,levenshtein,1784376715
16217,montedio-rush.com,montepio.pt,levenshtein,1784376709
16216,vodafonei.com,vodafone.pt,brand_contains,1784376496
16215,www.montredo.pt,montepio.pt,levenshtein,1784374417
16214,mondejo.pt,montepio.pt,levenshtein,1784374348
16213,www.facebookloginreset-verify-secure-support-access.com.ph,portaldasfinancas.gov.pt,keyword,1784373868
16212,www.inmobiliariasantander.com,santander.pt,brand_contains,1784373793
16211,www.login-authorized-alert-secure-portal-panel.snapchat.innovacommunications.com.au,novobanco.pt,keyword,1784373429
16210,www.facebookloginreset-verify-secure-account-login.com.ph,eportugal.gov.pt,keyword,1784372814
16209,ww25.m.sandtander.com,santander.pt,levenshtein,1784372713
16208,net-93-67-3-18.cust.vodafonedsl.it,vodafone.pt,brand_contains,1784372069
16207,www.facebookloginreset-verify-secure-access-access.com.ph,portaldasfinancas.gov.pt,keyword,1784371976
16206,www.facebookloginreset-verify-secure-account-access.com.ph,portaldasfinancas.gov.pt,keyword,1784371971
16185,superset.santandersconsumerusa.com,santander.pt,brand_contains,1784371908
16205,voda-fone.nl,vodafone.pt,levenshtein,1784371340
16204,santnder.de,santander.pt,levenshtein,1784371325
16203,www.facebookloginreset-verify-secure-support-info.com.ph,portaldasfinancas.gov.pt,keyword,1784371209
16202,santanter.de,santander.pt,levenshtein,1784371177
16201,www.facebookloginreset-verify-secure-support-login.com.ph,abancaportugal.pt,keyword,1784371150
16200,facebookloginreset-verify-secure-account-help.com.ph,eportugal.gov.pt,keyword,1784370952
16198,facebookloginreset-verify-secure-account-access.com.ph,portaldasfinancas.gov.pt,keyword,1784370951
16199,facebookloginreset-verify-secure-access.com.ph,portaldasfinancas.gov.pt,keyword,1784370951
16197,pt-montepio.com,montepio.pt,brand_contains,1784370787
16196,corpomixnortedesantander.com,santander.pt,brand_contains,1784370721
16195,qbnckr7nwvro4rzt.meivodafone.de,vodafone.pt,brand_contains,1784370561
16194,jorgesantander.com,santander.pt,brand_contains,1784370358
16193,vodafonebusiness.gr,vodafone.pt,brand_contains,1784370327
16192,pt-bancobpi.com,bancobpi.pt,brand_contains,1784370326
16191,www.hi-cgd.com,cgd.pt,brand_contains,1784370130
16190,csuhdd-sef.top,sef.pt,brand_contains,1784370087
16189,facebookloginreset-verify-secure-account-info.com.ph,portaldasfinancas.gov.pt,keyword,1784370017
16188,facebookloginreset-verify-secure-support-login.com.ph,abancaportugal.pt,keyword,1784370008
16187,facebookloginreset-verify-secure-support-help.com.ph,abancaportugal.pt,keyword,1784369985
16186,facebookloginreset-verify-secure-support-info.com.ph,portaldasfinancas.gov.pt,keyword,1784369977
16184,www.myway-ernaehrung.de,mbway.pt,levenshtein,1784369797
16183,csuhdd-sef.top,sef.pt,brand_contains,1784369057
16182,facebookloginreset-verify-secure-support-access.com.ph,portaldasfinancas.gov.pt,keyword,1784368967
16181,facebookloginreset-verify-secure-account-update.com.ph,portaldasfinancas.gov.pt,keyword,1784368812
16180,facebookloginreset-verify-secure-account.com.ph,portaldasfinancas.gov.pt,keyword,1784368811
16178,facebookloginreset-verify-secure-account-check.com.ph,portaldasfinancas.gov.pt,keyword,1784368810
16179,facebookloginreset-verify-secure-access-login.com.ph,portaldasfinancas.gov.pt,keyword,1784368810
16177,facebookloginreset-verify-secure-access-help.com.ph,portaldasfinancas.gov.pt,keyword,1784368809
16157,facebookloginreset-verify-secure-access-update.com.ph,portaldasfinancas.gov.pt,keyword,1784368808
16175,facebookloginreset-verify-secure-user.com.ph,portaldasfinancas.gov.pt,keyword,1784368807
16176,facebookloginreset-verify-secure-access-help.com.ph,portaldasfinancas.gov.pt,keyword,1784368807
16174,facebookloginreset-verify-secure-account-check.com.ph,portaldasfinancas.gov.pt,keyword,1784368806
16173,www.pilatessantander.com,santander.pt,brand_contains,1784368502
16172,www.pilatessantander.com,santander.pt,brand_contains,1784368501
16171,admin.myway.africa,mbway.pt,levenshtein,1784368300
16170,csuhdd-sef.top,sef.pt,brand_contains,1784368215
16169,admin.acessosantander.com,santander.pt,brand_contains,1784367984
16168,montedio-rush.com,montepio.pt,levenshtein,1784367609
16167,montedio-rush.com,montepio.pt,levenshtein,1784367603
16166,www.boob-sef.online,sef.pt,brand_contains,1784367519
16156,qa.vodafone-topangebote.de,vodafone.pt,brand_contains,1784367385
16165,csuhdd-sef.top,sef.pt,brand_contains,1784367141
16164,clubdebaloncestocucutanortedesantander.com,santander.pt,brand_contains,1784367137
16163,csuhdd-sef.top,sef.pt,brand_contains,1784367135
16162,csuhdd-sef.top,sef.pt,brand_contains,1784367133
16161,www.stcvodafone.es,vodafone.pt,brand_contains,1784366476
16160,www.stcvodafone.es,vodafone.pt,brand_contains,1784366475
16159,myway.biz.id,mbway.pt,levenshtein,1784366465
16158,rusasantander.com,santander.pt,brand_contains,1784366389
16155,despedidadesolteroensantander.com,santander.pt,brand_contains,1784366271
16154,despedidadesolteroensantander.com,santander.pt,brand_contains,1784366095
16153,www.santanderonline.es,santander.pt,brand_contains,1784366036
16143,www.gw.santandersconsumerusa.com,santander.pt,brand_contains,1784364995
16152,cpcalendars.myway.biz.id,mbway.pt,levenshtein,1784364289
16151,instagram-login-secure-verify-check.com.ph,portaldasfinancas.gov.pt,keyword,1784363878
16150,myway-torino.it,mbway.pt,levenshtein,1784363751
16130,cgd-biarritz.fr,cgd.pt,brand_contains,1784363572
16149,www.asgard.santender.pl,santander.pt,levenshtein,1784363570
16148,www.asgard.santender.pl,santander.pt,levenshtein,1784363566
16147,cpcalendars.myway.biz.id,mbway.pt,levenshtein,1784363369
16146,mebway.org,mbway.pt,levenshtein,1784363332
16145,acerosarquitectonicossantander.com,santander.pt,brand_contains,1784363271
16144,mebway.org,mbway.pt,levenshtein,1784363266
16129,althenay.com,ifthenpay.com,levenshtein,1784362808
16142,www.jinshenpay.com,ifthenpay.com,levenshtein,1784362731
16141,drh.pt,dre.pt,levenshtein,1784362047
16140,hernansantander.com,santander.pt,brand_contains,1784362005
16139,www.vodafoneit.com,vodafone.pt,brand_contains,1784361955
16138,ww38.santandercosumerusa.com,santander.pt,brand_contains,1784361791
16137,link.eportugalpt.com,eportugal.gov.pt,brand_contains,1784361395
16136,www.eupagonaentrega.site,eupago.pt,brand_contains,1784360796
16135,ihepay.com,ifthenpay.com,levenshtein,1784360739
16134,ssntander.de,santander.pt,levenshtein,1784360145
16133,login.vodafoneiot.com.au,vodafone.pt,brand_contains,1784359749
16132,huxzzulfkgapi.90web-santander.info,santander.pt,brand_contains,1784359509
16131,bricobpm.pt,bancobpi.pt,levenshtein,1784359253
16128,sef.com.gr,sef.pt,brand_contains,1784359035
16127,otherpay.com,ifthenpay.com,levenshtein,1784358512
16126,ap1-preprod-vbps.apix.vodafonedxl.services,vodafone.pt,brand_contains,1784358408
16125,santander-tan.net,santander.pt,brand_contains,1784358391
16124,myway.zone,mbway.pt,levenshtein,1784358359
16123,www.jgv.madeinsantander.com,santander.pt,brand_contains,1784358047
16122,kre.pt,dre.pt,levenshtein,1784358036
16110,kre.pt,dre.pt,levenshtein,1784358032
16121,www.myway-auktion.de,mbway.pt,levenshtein,1784358010
16120,santanter.de,santander.pt,levenshtein,1784357102
16119,santanter.de,santander.pt,levenshtein,1784357099
16118,vodafonfe.de,vodafone.pt,levenshtein,1784356778
16117,buyvodafoneuk.shop,vodafone.pt,brand_contains,1784356537
16116,buyvodafoneuk.shop,vodafone.pt,brand_contains,1784356535
16115,vodafonevoucher.co.nz,vodafone.pt,brand_contains,1784356483
16114,buyvodafoneuk.shop,vodafone.pt,brand_contains,1784356471
16113,moneymaker.bway.net,mbway.pt,levenshtein,1784356323
16112,fattiradogitale.interactivebill.vodsfone.it,vodafone.pt,levenshtein,1784355956
16111,mbay.uk,mbway.pt,levenshtein,1784355575
16109,migration-api.ombwayomichael.com,mbway.pt,brand_contains,1784354901
16108,5bway.com,mbway.pt,levenshtein,1784354873
16107,compositor360.kikesantanderacademy.com,santander.pt,brand_contains,1784354408
16106,development.vodafonecoupons.al,vodafone.pt,brand_contains,1784354229
16105,www.5bway.com,mbway.pt,levenshtein,1784353268
16104,monterio.me,montepio.pt,levenshtein,1784353217
16103,acerosarquitectonicossantander.com,santander.pt,brand_contains,1784352380
16102,gluecksrad.vodafone-immersive.de,vodafone.pt,brand_contains,1784350718
16101,vodafone-es-mves.com,vodafone.pt,brand_contains,1784350652
16092,m.bancobai.com,bancobpi.pt,levenshtein,1784349931
16100,cgd-plastiques.com,cgd.pt,brand_contains,1784349842
16099,dev.adslvodafone.com,vodafone.pt,brand_contains,1784349827
16098,www.instagram-login-secure-verify-check.com.ph,portaldasfinancas.gov.pt,keyword,1784349814
16097,lifenpay.com,ifthenpay.com,levenshtein,1784349357
16096,www.myway-myplan.ru,mbway.pt,levenshtein,1784349148
16095,www.myway-myplan.ru,mbway.pt,levenshtein,1784349144
16094,login.vodafoneiot.com.au,vodafone.pt,brand_contains,1784348951
16093,kre.pt,dre.pt,levenshtein,1784348828
16091,www.santanderglobalprime.net,santander.pt,brand_contains,1784348815
16090,gifterpay.com,ifthenpay.com,levenshtein,1784347513
16089,bancodesantander.es,santander.pt,brand_contains,1784347392
16088,test.myway.tax,mbway.pt,levenshtein,1784347105
16087,ww38.santandercosumerusa.com,santander.pt,brand_contains,1784347020
16086,ww38.santandercosumerusa.com,santander.pt,brand_contains,1784347018
16085,cpcontacts.verify.p.pharmasecure.com,ifthenpay.com,keyword,1784345790
16084,www.instagram-login-secure-update-verify.com.ph,portaldasfinancas.gov.pt,keyword,1784345151
16083,vodafone-uptop.icu,vodafone.pt,brand_contains,1784344644
16082,inovar.cef.pt,sef.pt,levenshtein,1784344086
16081,inovar.cef.pt,sef.pt,levenshtein,1784344082
16080,pmonteiro.pt,montepio.pt,levenshtein,1784343766
16071,monteriso.at,montepio.pt,levenshtein,1784343707
16079,dantasdev.pt,santander.pt,levenshtein,1784343637
16078,mbay.dev,mbway.pt,levenshtein,1784343561
16077,api.hostmaster.santaner.de,santander.pt,levenshtein,1784343557
16076,m.nms.pt,nos.pt,levenshtein,1784343433
16075,ww38.santandetr.de,santander.pt,levenshtein,1784343166
16074,tracking.update.vodafoneidea.in,vodafone.pt,brand_contains,1784343050
16073,tracking.noreply.vodafoneidea.in,vodafone.pt,brand_contains,1784341439
16072,vodafonebusinessevents.es,vodafone.pt,brand_contains,1784341351
16070,lasantanderina.com,santander.pt,brand_contains,1784341136
16069,www.vodafonevanuatu.com,vodafone.pt,brand_contains,1784340337
16068,instagram-login-secure-verify-access.com.ph,portaldasfinancas.gov.pt,keyword,1784340249
16067,instagram-login-secure-verify-status.com.ph,portaldasfinancas.gov.pt,keyword,1784340188
16066,montedit.it,montepio.pt,levenshtein,1784340166
16065,www.montedit.it,montepio.pt,levenshtein,1784340125
16064,instagram-login-secure-access-verify.com.ph,portaldasfinancas.gov.pt,keyword,1784340118
16063,instagram-login-secure-status-verify.com.ph,portaldasfinancas.gov.pt,keyword,1784340117
16062,instagram-login-secure-update-verify.com.ph,portaldasfinancas.gov.pt,keyword,1784340108
16061,home-myway.com,mbway.pt,levenshtein,1784339319
16060,property.43210secure-login-verify-paypal.suspicious-domain.xyz,eupago.pt,keyword,1784338820
16059,property.43210secure-login-verify-paypal.suspicious-domain.xyz,eupago.pt,keyword,1784338818
16058,www.vodafonestorevialeadua.it,vodafone.pt,brand_contains,1784337857
16057,staging.hostmaster.santaner.de,santander.pt,levenshtein,1784337074
16056,food.med.pt,meo.pt,levenshtein,1784336770
16055,app.nortesantander.co,santander.pt,brand_contains,1784336449
16054,montepioweb.cc,montepio.pt,brand_contains,1784336220
16053,montepioweb.cc,montepio.pt,brand_contains,1784336217
16052,test.www.appsantander.com,santander.pt,brand_contains,1784336125
16044,www.instagram-login-verify-secured-info.com.ph,portaldasfinancas.gov.pt,keyword,1784335991
16051,support.vodafoneiot.com.au,vodafone.pt,brand_contains,1784335257
16043,go.myway.app,mbway.pt,levenshtein,1784335243
16050,clientesblacksantander.com,santander.pt,brand_contains,1784334811
16034,vodafone-top-up.life,vodafone.pt,brand_contains,1784334790
16049,etopuptestapi.myvodafone.com.ws,vodafone.pt,brand_contains,1784334737
16048,www.certificadoregistrosantander.net,santander.pt,brand_contains,1784334725
16047,www.certificadoregistrosantander.net,santander.pt,brand_contains,1784334721
16046,pasionporelpansantander.com,santander.pt,brand_contains,1784334631
16045,certificadoregistrosantander.net,santander.pt,brand_contains,1784334429
16042,dumbways.id,mbway.pt,brand_contains,1784333830
16041,santanter.de,santander.pt,levenshtein,1784333562
16040,sef-badsanierung.de,sef.pt,brand_contains,1784333437
16033,www.es-la-login-check-verify-secure.ph,santander.pt,keyword,1784333011
16039,santanter.de,santander.pt,levenshtein,1784332133
16038,jupago.com,eupago.pt,levenshtein,1784331461
16037,www.bancosantander.se,santander.pt,brand_contains,1784331078
16036,readytotalkmoulsecoombway.com,mbway.pt,brand_contains,1784330953
16035,www.vodafone-pd.com,vodafone.pt,brand_contains,1784330344
16027,viz.santnder.com,santander.pt,levenshtein,1784330201
16032,www.sef.run,sef.pt,brand_contains,1784329799
16031,ifthenpayperfect.pt,ifthenpay.com,brand_contains,1784329351
16030,ajuda.sgf.pt,sef.pt,levenshtein,1784328864
16029,www.box3.me.mxway.com,mbway.pt,levenshtein,1784328681
16028,login-portal-secure.com,ifthenpay.com,keyword,1784326855
16026,vbps-backoffice-preprod.apix.vodafonedxl.services,vodafone.pt,brand_contains,1784326629
16025,vbps-backoffice-preprod.apix.vodafonedxl.services,vodafone.pt,brand_contains,1784326511
16024,vodafone-doberan.de,vodafone.pt,brand_contains,1784326436
16023,www.out.santnder.com,santander.pt,levenshtein,1784325559
16015,www.ombwayomichael.com,mbway.pt,brand_contains,1784325008
16022,ww2.ww.samtander.de,santander.pt,levenshtein,1784324387
16021,ww2.ww.samtander.de,santander.pt,levenshtein,1784324383
16020,www.santandercareers.com,santander.pt,brand_contains,1784324182
16019,www.vodafonehappydiscountedcinema.com,vodafone.pt,brand_contains,1784324164
16018,www.vegazone.pt,vodafone.pt,levenshtein,1784324063
16017,www.vegazone.pt,vodafone.pt,levenshtein,1784324049
16016,loginmy-accp01.myway-insurance.be,mbway.pt,levenshtein,1784323619
16014,ap1-preprod.apix.vodafonedxl.services,vodafone.pt,brand_contains,1784322911
16013,vodafone-top-up.sbs,vodafone.pt,brand_contains,1784322339
16012,centralsuitesantander.com,santander.pt,brand_contains,1784322135
16011,www.noticias.inmueblesyrentasdesantander.com,santander.pt,brand_contains,1784322043
16010,cpcalendars.vodafonecare.in,vodafone.pt,brand_contains,1784321689
16009,vodafonfe.de,vodafone.pt,levenshtein,1784321246
16001,mway.eu,mbway.pt,levenshtein,1784321194
16008,task29.hi-cgd.com,cgd.pt,brand_contains,1784321180
16007,www.mway.eu,mbway.pt,levenshtein,1784320955
16006,particulares-bancobpi.net,bancobpi.pt,brand_contains,1784320558
16005,www.terracalma.mem.pt,meo.pt,levenshtein,1784320557
16004,vodafonetr.com,vodafone.pt,brand_contains,1784320431
16003,freshpizzasantander.com,santander.pt,brand_contains,1784320426
16002,www.santanderenlared.com,santander.pt,brand_contains,1784320094
16000,vodafone-top-up.sbs,vodafone.pt,brand_contains,1784319277
15989,out.santnder.com,santander.pt,levenshtein,1784319263
15999,mxo.pt,meo.pt,levenshtein,1784319037
15998,vodafonfe.de,vodafone.pt,levenshtein,1784318958
15997,festivalnacionaldegastronomia.santarem.pt,santander.pt,levenshtein,1784318642
15996,remote.bodafone.it,vodafone.pt,levenshtein,1784318640
15994,votafone.com,vodafone.pt,levenshtein,1784318300
15995,pontopro.pt,montepio.pt,levenshtein,1784318300
15993,ams.sef.edu.pk,sef.pt,brand_contains,1784317860
15992,whm.www.appsantander.com,santander.pt,brand_contains,1784317047
15991,www.m-way.co,mbway.pt,levenshtein,1784316739
15990,hi-cgd.com,cgd.pt,brand_contains,1784316089
15988,en.sef.net.au,sef.pt,brand_contains,1784315133
15987,en.sef.net.au,sef.pt,brand_contains,1784315130
15986,staging.santandervip.com,santander.pt,brand_contains,1784314802
15985,sociedaddecirugiapediatricadenortedesantander.com,santander.pt,brand_contains,1784314201
15982,staging.cpanel.santander-international.com,santander.pt,brand_contains,1784314178
15984,staging.cpanel.santander-international.com,santander.pt,brand_contains,1784314177
15983,whm.test.bad.dns.sanander.de,santander.pt,levenshtein,1784314129
15981,www.vodafoneelevation.de,vodafone.pt,brand_contains,1784313279
15968,aplicacion-nowo.tech,nowo.pt,brand_contains,1784312769
15967,www.zonafrancasantander.net,santander.pt,brand_contains,1784311943
15980,bway.it,mbway.pt,levenshtein,1784311871
15979,facebookloginreset-verify-secure.com.ph,portaldasfinancas.gov.pt,keyword,1784311186
15978,dev.adslvodafone.com,vodafone.pt,brand_contains,1784311140
15977,tupisoensantander.com,santander.pt,brand_contains,1784310384
15976,starlinevodafone.it,vodafone.pt,brand_contains,1784310290
15975,stepclimbway.info,mbway.pt,brand_contains,1784310060
15974,facebook-login-secure-verify.ph,santander.pt,keyword,1784310013
15973,www.facebook-login-secure-verify.ph,santander.pt,keyword,1784310006
15972,mail.monteira.pt,montepio.pt,levenshtein,1784309757
15971,mail.monteira.pt,montepio.pt,levenshtein,1784309754
15970,meq.pt,meo.pt,levenshtein,1784308819
15969,cms.nowo.se,nowo.pt,brand_contains,1784308772
15966,ww38.santanderconsumeerusa.com,santander.pt,brand_contains,1784308652
15965,stats.wwbancosantander.es,santander.pt,brand_contains,1784307225
15954,admin.santanderempresarial.net,santander.pt,brand_contains,1784305294
15964,webmail.sef-stadium.gr,sef.pt,brand_contains,1784304995
15963,www.myway-mode.de,mbway.pt,levenshtein,1784304649
15962,ww38.santanderconssumerusa.com,santander.pt,brand_contains,1784303597
15961,santandrea.pe,santander.pt,levenshtein,1784303206
15960,ww38.santandrer.de,santander.pt,levenshtein,1784302356
15959,m.sef-group.com,sef.pt,brand_contains,1784302289
15958,myway.my,mbway.pt,levenshtein,1784301900
15957,myway.my,mbway.pt,levenshtein,1784301898
15956,sumosantander.com,santander.pt,brand_contains,1784301890
15955,www.vodafoneideain.com,vodafone.pt,brand_contains,1784301768
15953,ww38.santandrer.de,santander.pt,levenshtein,1784301165
15952,www.sef-nj.org,sef.pt,brand_contains,1784300466
15951,montepio24empresas.cyou,montepio.pt,brand_contains,1784300447
15950,santanderkw.com,santander.pt,brand_contains,1784300308
15949,tef.pt,sef.pt,levenshtein,1784300198
15948,tef.pt,sef.pt,levenshtein,1784300197
15947,www.admin.bairro.santarem.pt,santander.pt,levenshtein,1784299938
15946,grandhotelsantander.com,santander.pt,brand_contains,1784299860
15945,www.eletrizando.codezone.pt,vodafone.pt,levenshtein,1784299826
15944,cubeworkoutstudio.codezone.pt,vodafone.pt,levenshtein,1784299142
15943,equipoventas.juliosantander.online,santander.pt,brand_contains,1784298786
15942,mway.li,mbway.pt,levenshtein,1784298719
15941,vodafonemexefest.com,vodafone.pt,brand_contains,1784297923
15940,www.becas-santander.com,santander.pt,brand_contains,1784297831
15939,magdalena.santanderventaentradas.com,santander.pt,brand_contains,1784297676
15938,vodafoneasia.com,vodafone.pt,brand_contains,1784297229
15937,www.captacion-vodafone.es,vodafone.pt,brand_contains,1784296897
15936,santanderibc.com,santander.pt,brand_contains,1784296885
15935,juntasantander.com,santander.pt,brand_contains,1784296779
15934,santanderinfo.info,santander.pt,brand_contains,1784296718
15933,vless.cgd-v-less.top,cgd.pt,brand_contains,1784295556
15932,www.vodafonehappydiscountedcinema.com,vodafone.pt,brand_contains,1784295508
15931,www.vodafonehappydiscountedcinema.com,vodafone.pt,brand_contains,1784295413
