id,candidate_domain,matched_seed,flag_reason,seen_at
15968,aplicacion-nowo.tech,nowo.pt,brand_contains,1784312769
15964,webmail.sef-stadium.gr,sef.pt,brand_contains,1784304995
15963,www.myway-mode.de,mbway.pt,levenshtein,1784304649
15959,m.sef-group.com,sef.pt,brand_contains,1784302289
15958,myway.my,mbway.pt,levenshtein,1784301900
15955,www.vodafoneideain.com,vodafone.pt,brand_contains,1784301768
15952,www.sef-nj.org,sef.pt,brand_contains,1784300466
15951,montepio24empresas.cyou,montepio.pt,brand_contains,1784300447
15949,tef.pt,sef.pt,levenshtein,1784300198
15945,www.eletrizando.codezone.pt,vodafone.pt,levenshtein,1784299826
15944,cubeworkoutstudio.codezone.pt,vodafone.pt,levenshtein,1784299142
15942,mway.li,mbway.pt,levenshtein,1784298719
15941,vodafonemexefest.com,vodafone.pt,brand_contains,1784297923
15938,vodafoneasia.com,vodafone.pt,brand_contains,1784297229
15937,www.captacion-vodafone.es,vodafone.pt,brand_contains,1784296897
15933,vless.cgd-v-less.top,cgd.pt,brand_contains,1784295556
15932,www.vodafonehappydiscountedcinema.com,vodafone.pt,brand_contains,1784295508
15930,vondafone.co.uk,vodafone.pt,levenshtein,1784295345
15928,ifthenfi.com,ifthenpay.com,levenshtein,1784294826
15926,propostach.bancoctt.pt,bancobpi.pt,levenshtein,1784294082
15922,stage.admin.jlr-sef.com,sef.pt,brand_contains,1784292967
15921,corridamontepio.pt,montepio.pt,brand_contains,1784292795
15908,vodafonegenerationnext.gr,vodafone.pt,brand_contains,1784289725
15907,vodafonefantasticfreebies.com,vodafone.pt,brand_contains,1784289724
15906,vodafonegiftcard.com,vodafone.pt,brand_contains,1784289707
15905,vodafonerepair.ie,vodafone.pt,brand_contains,1784289704
15889,laboratornadacevodafone.cz,vodafone.pt,brand_contains,1784289670
15903,www.vodafonefantasticdays.com,vodafone.pt,brand_contains,1784289670
15899,www.vodafonefaf.ie,vodafone.pt,brand_contains,1784289669
15900,www.vodafonexoffers.com,vodafone.pt,brand_contains,1784289669
15901,www.vodafonefantasticfridays.com,vodafone.pt,brand_contains,1784289669
15898,www.vodafone-priebe.de,vodafone.pt,brand_contains,1784289381
15897,opac.bpe.bnportugal.gov.pt,eportugal.gov.pt,levenshtein,1784289323
15896,cpanel.bincoapp.pt,bancobpi.pt,levenshtein,1784289092
15895,staging-v3.dumbways.id,mbway.pt,brand_contains,1784288418
15894,deixaqueeupago.com.br,eupago.pt,brand_contains,1784287754
15893,myway-fc.org.ph,mbway.pt,levenshtein,1784287452
15887,www.myway.casa,mbway.pt,levenshtein,1784285955
15886,www.bpinet.bancobpi.pt.prismapetcolossopet.com.br,bancobpi.pt,subdomain,1784284575
15885,vodafon.one,vodafone.pt,levenshtein,1784284461
15884,www.myway.academy,mbway.pt,levenshtein,1784284314
15883,www.cgd-pro.fr,cgd.pt,brand_contains,1784284097
15875,sgd.pt,cgd.pt,levenshtein,1784282772
15866,montepio24.org,montepio.pt,brand_contains,1784282159
15870,bincoapp.pt,bancobpi.pt,levenshtein,1784280376
15865,sef-padel.de,sef.pt,brand_contains,1784279802
15862,thexpay.com,ifthenpay.com,levenshtein,1784277400
15860,vodafcne.sbs,vodafone.pt,levenshtein,1784276441
15851,ww9.segnalazionivodafone.it,vodafone.pt,brand_contains,1784272288
15850,wordpress.banco.pt,bancobpi.pt,levenshtein,1784272163
15848,mahmood.you-sef.dev,sef.pt,brand_contains,1784271227
15842,mail.monteira.pt,montepio.pt,levenshtein,1784269704
15840,cpanel.vodafonecoupons.al,vodafone.pt,brand_contains,1784267832
15838,digicraft-api.fundacionvodafone.es,vodafone.pt,brand_contains,1784266786
15829,catalogo.comunicaciones-vodafone.es,vodafone.pt,brand_contains,1784266785
15836,digicraft-support.fundacionvodafone.es,vodafone.pt,brand_contains,1784266785
15837,digicraft-evaluacion.fundacionvodafone.es,vodafone.pt,brand_contains,1784266785
